City,Province,lon,lat
Karachi,Sindh,67.04612732,24.93283279
Hyderabad,Sindh,68.37216854,25.39901052
Nooriabad,Sindh,67.80731678,25.17041693
Jamshoro,Sindh,68.281703,25.43025289
Dhabeji,Sindh,67.49762893,24.81244663
Gharo,Sindh,67.58636713,24.74123836
Gujjo,Sindh,67.76895046,24.74464872
Makli,Sindh,67.89175272,24.74390819
Thatta,Sindh,67.92573094,24.75201477
Sujawal,Sindh,68.07403564,24.60355747
Golarchi,Sindh,68.53158832,24.65193176
Chuhar Jamali,Sindh,67.99219608,24.39652723
Jati,Sindh,68.26837778,24.35305904
Mirpur Sakro,Sindh,67.62926102,24.54776728
Talhar,Sindh,68.81923914,24.88380866
Mansoorabad,Sindh,68.88037205,24.84010065
Tando Bago,Sindh,68.96739364,24.78963716
Matli,Sindh,68.65815639,25.0434497
Tando Muhammad Khan,Sindh,68.53829384,25.13124011
Tando Jam,Sindh,68.53366971,25.4324039
Tando Allahyar,Sindh,68.72179985,25.46710537
Nasarpur,Sindh,68.61832023,25.51752188
Shahpur,Sindh,68.55138302,25.52094936
Matiari,Sindh,68.44357967,25.59770304
Sekhat,Sindh,68.49709511,25.64994093
Odero Lal City,Sindh,68.56173635,25.70055118
Tando Adam,Sindh,68.65768433,25.76194306
Bhit Shah,Sindh,68.49064708,25.80445998
Shahdadpur,Sindh,68.61811638,25.92296494
Hala,Sindh,68.4224546,25.81504578
Sanghar,Sindh,68.9510107,26.04656579
Sinjhoro,Sindh,68.8078022,26.03237605
Nawabshah,Sindh,68.40620041,26.24931404
Sakrand,Sindh,68.26964378,26.14099175
Mirpurkhas,Sindh,69.01083469,25.52795892
Mirwah Gorchani,Sindh,69.0515399,25.30952193
Khipro,Sindh,69.37518597,25.8260459
Umarkot,Sindh,69.73674774,25.3657921
Chachro,Sindh,70.25156021,25.10979144
Khokarapar,Sindh,70.19516945,25.70051251
Islamkot,Sindh,70.17414093,24.69979995
Mithi,Sindh,69.79391098,24.74001061
Naukot,Sindh,69.40105319,24.85570687
Jhudo,Sindh,69.29906487,24.964973
Tando Jan Mohammad,Sindh,69.21599686,25.07182936
Digri,Sindh,69.11153555,25.15548189
Tando Ghulam Ali,Sindh,68.88742089,25.12822897
Diplo,Sindh,69.57922697,24.4690256
Nagarparkar,Sindh,70.75423837,24.35808288
Kadhan,Sindh,68.98774624,24.48167094
Luari Sharif,Sindh,68.90041351,24.56101946
Badin,Sindh,68.84098649,24.65716793
Nindo,Sindh,69.04263496,24.63878673
Khoski,Sindh,69.11893845,24.65630013
Petaro,Sindh,68.34285736,25.58494965
Sann,Sindh,68.13738942,26.0400688
Sehwan,Sindh,67.86193728,26.42724575
Bhan Syedabad,Sindh,67.72386789,26.55544158
Johi,Sindh,67.61342525,26.69242343
Dadu,Sindh,67.77210474,26.72815247
Khaipur Nathan Shah (KN Shah)),Sindh,67.7333951,27.09100439
Mehar,Sindh,67.82207966,27.18074495
Nasirabad,Sindh,67.91606426,27.38232344
Wagan,Sindh,67.96387196,27.49464383
Qambar,Sindh,68.00193787,27.58931681
Shahdadkot,Sindh,67.90636539,27.84545124
Larkana,Sindh,68.21282387,27.55713411
Naudero,Sindh,68.35998058,27.66532327
Rato Dero,Sindh,68.29202414,27.79996318
Madeji,Sindh,68.45323563,27.75597518
Lakhi Ghulam Shah,Sindh,68.70143652,27.84990983
Shikarpur,Sindh,68.64077568,27.95126945
Sultan Kot,Sindh,68.59069347,28.0710715
Jacobabad,Sindh,68.43263626,28.28306813
Garhi Khairo,Sindh,67.98329115,28.05959719
Qubo Saeed Khan,Sindh,67.70678759,27.87398304
Thul,Sindh,68.77449989,28.24005215
Kandhkot,Sindh,69.18133736,28.24610114
Garhi Yasin,Sindh,68.51400375,27.90872704
Khanpur,Sindh,68.72866631,28.00129789
Karampur,Sindh,68.93122673,28.09871084
Ghauspur,Sindh,69.08198833,28.14061061
Kashmore,Sindh,69.57877636,28.43065673
Guddu,Sindh,69.68250275,28.43484573
Ubauro,Sindh,69.72867966,28.16350284
Daharki,Sindh,69.70018387,28.05213634
